freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.787e+02,2.696e+01,3.636e+01,4.420e+02
1.6,2.175e+02,2.857e+01,4.313e+01,2.892e+02
3.2,3.256e+01,1.875e+01,3.069e+01,8.200e+01
4.7,3.549e+02,1.892e+01,3.248e+01,4.063e+02
6.3,1.155e+03,1.989e+01,3.489e+01,1.209e+03
7.9,1.941e+03,2.129e+01,3.325e+01,1.995e+03
9.5,2.901e+03,2.220e+01,2.667e+01,2.950e+03
11.1,3.519e+03,2.239e+01,2.874e+01,3.570e+03
12.6,4.173e+03,1.898e+01,3.205e+01,4.224e+03
14.2,5.522e+03,1.942e+01,3.250e+01,5.574e+03
15.8,7.015e+03,2.011e+01,3.289e+01,7.068e+03
17.4,8.644e+03,2.013e+01,3.411e+01,8.698e+03
19.0,1.080e+04,2.259e+01,4.123e+01,1.087e+04
20.6,1.325e+04,2.836e+01,4.047e+01,1.332e+04
22.1,1.591e+04,4.281e+01,5.039e+01,1.601e+04
23.7,1.778e+04,7.456e+01,1.437e+02,1.800e+04
25.3,1.963e+04,1.116e+02,3.022e+02,2.005e+04
26.9,2.183e+04,1.437e+02,2.895e+02,2.226e+04
28.5,2.501e+04,1.282e+02,1.630e+02,2.530e+04
30.0,3.040e+04,8.338e+01,1.649e+02,3.064e+04
31.6,3.758e+04,6.870e+01,3.219e+02,3.797e+04
33.2,4.566e+04,1.280e+02,6.396e+02,4.643e+04
34.8,5.384e+04,2.508e+02,1.067e+03,5.516e+04
36.4,6.210e+04,5.290e+02,1.773e+03,6.440e+04
37.9,7.131e+04,1.082e+03,3.170e+03,7.556e+04
39.5,7.600e+04,1.912e+03,5.311e+03,8.322e+04
41.1,8.639e+04,3.015e+03,7.791e+03,9.720e+04
42.7,1.039e+05,4.466e+03,8.664e+03,1.171e+05
44.3,1.123e+05,5.258e+03,6.315e+03,1.239e+05
45.9,1.160e+05,5.146e+03,3.081e+03,1.242e+05
47.4,1.204e+05,6.395e+03,1.367e+03,1.281e+05
49.0,1.030e+05,8.381e+03,1.908e+03,1.133e+05
50.6,7.716e+04,9.023e+03,3.115e+03,8.930e+04
52.2,5.791e+04,9.481e+03,4.978e+03,7.237e+04
53.8,4.146e+04,9.528e+03,7.342e+03,5.833e+04
55.3,2.754e+04,9.590e+03,9.640e+03,4.677e+04
56.9,1.807e+04,8.888e+03,1.092e+04,3.789e+04
58.5,1.469e+04,8.085e+03,1.210e+04,3.488e+04
60.1,1.482e+04,8.165e+03,1.370e+04,3.669e+04
61.7,1.846e+04,8.178e+03,1.506e+04,4.170e+04
63.2,2.649e+04,8.055e+03,1.667e+04,5.121e+04
64.8,4.026e+04,7.921e+03,1.867e+04,6.686e+04
66.4,6.147e+04,7.496e+03,2.057e+04,8.953e+04
68.0,8.798e+04,6.254e+03,2.155e+04,1.158e+05
69.6,1.213e+05,5.390e+03,2.408e+04,1.508e+05
71.2,1.600e+05,5.180e+03,2.764e+04,1.928e+05
72.7,2.034e+05,5.273e+03,3.097e+04,2.396e+05
74.3,2.572e+05,5.751e+03,3.471e+04,2.977e+05
75.9,3.106e+05,7.157e+03,3.860e+04,3.563e+05
77.5,3.527e+05,9.205e+03,4.169e+04,4.036e+05
79.1,3.873e+05,1.127e+04,4.328e+04,4.418e+05
80.6,4.263e+05,1.399e+04,4.456e+04,4.849e+05
82.2,4.665e+05,1.755e+04,4.486e+04,5.289e+05
83.8,5.079e+05,2.129e+04,4.556e+04,5.748e+05
85.4,5.581e+05,2.605e+04,4.980e+04,6.340e+05
87.0,6.114e+05,3.203e+04,5.579e+04,6.993e+05
88.5,6.800e+05,3.934e+04,6.420e+04,7.835e+05
90.1,7.576e+05,4.777e+04,7.424e+04,8.796e+05
91.7,8.268e+05,5.567e+04,8.254e+04,9.650e+05
93.3,7.435e+05,5.296e+04,7.543e+04,8.719e+05
94.9,6.423e+05,5.241e+04,6.755e+04,7.623e+05
96.4,6.913e+05,6.473e+04,7.582e+04,8.318e+05
98.0,9.786e+05,9.160e+04,1.051e+05,1.175e+06
99.6,1.594e+06,1.361e+05,1.601e+05,1.890e+06
101.2,2.080e+06,1.722e+05,2.011e+05,2.453e+06
102.8,2.238e+06,1.891e+05,2.128e+05,2.640e+06
104.4,1.875e+06,1.698e+05,1.783e+05,2.223e+06
105.9,1.131e+06,1.359e+05,1.211e+05,1.388e+06
107.5,1.183e+06,1.454e+05,1.245e+05,1.453e+06
109.1,1.368e+06,1.545e+05,1.350e+05,1.658e+06
110.7,1.306e+06,1.470e+05,1.277e+05,1.581e+06
112.3,1.217e+06,1.332e+05,1.173e+05,1.468e+06
113.8,1.190e+06,1.207e+05,1.109e+05,1.422e+06
115.4,1.126e+06,1.014e+05,9.958e+04,1.327e+06
117.0,1.015e+06,8.063e+04,8.499e+04,1.181e+06
118.6,9.110e+05,6.246e+04,7.189e+04,1.045e+06
