freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.273e+01,7.915e+01,3.249e+02,4.168e+02
1.6,2.632e+01,6.125e+01,2.070e+02,2.945e+02
3.1,2.449e+01,2.427e+01,4.924e+01,9.801e+01
4.7,2.262e+01,2.450e+01,3.306e+02,3.777e+02
6.3,2.289e+01,2.650e+01,1.203e+03,1.253e+03
7.9,2.194e+01,2.789e+01,1.894e+03,1.944e+03
9.4,2.265e+01,2.584e+01,2.355e+03,2.403e+03
11.0,2.285e+01,2.445e+01,3.516e+03,3.563e+03
12.6,2.245e+01,2.463e+01,5.023e+03,5.070e+03
14.1,2.272e+01,2.607e+01,7.229e+03,7.277e+03
15.7,2.265e+01,2.882e+01,1.057e+04,1.062e+04
17.3,2.374e+01,2.940e+01,1.431e+04,1.437e+04
18.9,2.284e+01,4.153e+01,1.956e+04,1.963e+04
20.4,4.008e+01,6.755e+01,2.524e+04,2.534e+04
22.0,1.006e+02,1.299e+02,2.517e+04,2.540e+04
23.6,8.742e+01,1.431e+02,2.384e+04,2.407e+04
25.1,3.483e+01,7.329e+01,2.786e+04,2.797e+04
26.7,2.195e+01,4.043e+01,3.621e+04,3.627e+04
28.3,2.361e+01,6.715e+01,4.878e+04,4.888e+04
29.9,3.412e+01,2.064e+02,7.221e+04,7.245e+04
31.4,5.325e+01,5.193e+02,1.111e+05,1.116e+05
33.0,6.382e+01,6.974e+02,1.320e+05,1.328e+05
34.6,1.316e+02,8.104e+02,1.591e+05,1.601e+05
36.2,2.815e+02,1.810e+03,2.228e+05,2.249e+05
37.7,5.183e+02,5.926e+03,3.539e+05,3.603e+05
39.3,8.463e+02,1.387e+04,4.880e+05,5.028e+05
40.9,9.097e+02,2.152e+04,5.131e+05,5.355e+05
42.4,7.304e+02,2.497e+04,4.651e+05,4.908e+05
44.0,5.211e+02,2.377e+04,3.783e+05,4.026e+05
45.6,3.647e+02,2.196e+04,3.032e+05,3.256e+05
47.2,2.747e+02,2.158e+04,2.500e+05,2.719e+05
48.7,2.655e+02,2.122e+04,2.086e+05,2.301e+05
50.3,5.368e+02,2.040e+04,1.766e+05,1.975e+05
51.9,1.946e+03,2.099e+04,1.711e+05,1.941e+05
53.4,4.643e+03,2.395e+04,1.875e+05,2.160e+05
55.0,8.189e+03,2.974e+04,2.371e+05,2.750e+05
56.6,1.249e+04,2.757e+04,2.699e+05,3.100e+05
58.2,1.217e+04,1.906e+04,2.425e+05,2.737e+05
59.7,9.008e+03,1.431e+04,1.987e+05,2.220e+05
61.3,6.117e+03,1.147e+04,1.627e+05,1.803e+05
62.9,4.844e+03,9.453e+03,1.355e+05,1.498e+05
64.4,3.992e+03,8.892e+03,1.161e+05,1.290e+05
66.0,2.763e+03,8.760e+03,9.954e+04,1.111e+05
67.6,1.975e+03,8.497e+03,8.371e+04,9.419e+04
69.2,1.529e+03,8.783e+03,7.567e+04,8.598e+04
70.7,1.240e+03,9.672e+03,7.177e+04,8.269e+04
72.3,1.122e+03,1.071e+04,6.681e+04,7.864e+04
73.9,9.660e+02,1.173e+04,6.205e+04,7.474e+04
75.4,9.515e+02,1.361e+04,5.987e+04,7.443e+04
77.0,1.109e+03,1.681e+04,6.029e+04,7.821e+04
78.6,1.250e+03,2.065e+04,6.201e+04,8.391e+04
80.2,1.281e+03,2.421e+04,6.343e+04,8.892e+04
81.7,1.485e+03,2.611e+04,6.227e+04,8.987e+04
83.3,1.402e+03,2.792e+04,6.124e+04,9.057e+04
84.9,1.132e+03,3.021e+04,5.951e+04,9.085e+04
86.4,1.157e+03,3.314e+04,5.755e+04,9.185e+04
88.0,1.357e+03,3.639e+04,5.637e+04,9.412e+04
89.6,1.467e+03,3.999e+04,5.575e+04,9.720e+04
91.2,1.651e+03,4.422e+04,5.599e+04,1.019e+05
92.7,1.892e+03,5.086e+04,5.678e+04,1.095e+05
94.3,2.299e+03,6.231e+04,5.882e+04,1.234e+05
95.9,3.487e+03,7.777e+04,6.085e+04,1.421e+05
97.4,6.849e+03,9.265e+04,6.276e+04,1.623e+05
99.0,1.389e+04,9.865e+04,6.634e+04,1.789e+05
100.6,2.051e+04,9.961e+04,7.141e+04,1.915e+05
102.2,2.283e+04,1.081e+05,7.371e+04,2.047e+05
103.7,2.340e+04,1.254e+05,7.414e+04,2.230e+05
105.3,2.353e+04,1.575e+05,7.554e+04,2.566e+05
106.9,2.859e+04,2.405e+05,9.428e+04,3.634e+05
108.5,4.103e+04,3.748e+05,1.260e+05,5.418e+05
110.0,6.666e+04,5.465e+05,1.604e+05,7.735e+05
111.6,9.477e+04,7.085e+05,1.800e+05,9.833e+05
113.2,1.060e+05,7.920e+05,1.729e+05,1.071e+06
114.7,9.819e+04,7.918e+05,1.500e+05,1.040e+06
116.3,8.232e+04,7.386e+05,1.230e+05,9.439e+05
117.9,6.232e+04,6.499e+05,9.507e+04,8.072e+05
119.5,4.244e+04,5.688e+05,7.458e+04,6.858e+05
121.0,3.286e+04,5.038e+05,6.034e+04,5.970e+05
122.6,3.138e+04,4.390e+05,4.728e+04,5.176e+05
124.2,2.619e+04,3.719e+05,3.473e+04,4.328e+05
125.7,1.918e+04,3.041e+05,2.441e+04,3.477e+05
127.3,1.469e+04,2.547e+05,1.731e+04,2.867e+05
128.9,1.039e+04,2.116e+05,1.175e+04,2.337e+05
130.5,6.576e+03,1.742e+05,7.662e+03,1.884e+05
132.0,3.893e+03,1.278e+05,4.702e+03,1.364e+05
133.6,1.726e+03,3.739e+04,2.391e+03,4.151e+04
135.2,9.620e+02,3.221e+03,1.486e+03,5.669e+03
136.7,7.772e+02,2.529e+03,1.220e+03,4.526e+03
138.3,5.615e+02,2.974e+03,1.088e+03,4.624e+03
139.9,4.276e+02,3.445e+03,8.946e+02,4.767e+03
141.5,3.677e+02,3.901e+03,7.380e+02,5.006e+03
143.0,3.632e+02,4.297e+03,6.318e+02,5.292e+03
144.6,3.729e+02,4.734e+03,5.628e+02,5.670e+03
146.2,3.793e+02,5.047e+03,4.867e+02,5.913e+03
147.7,3.754e+02,5.274e+03,4.177e+02,6.068e+03
149.3,4.031e+02,5.426e+03,3.859e+02,6.215e+03
150.9,4.895e+02,5.352e+03,3.761e+02,6.218e+03
152.5,5.405e+02,5.234e+03,2.717e+02,6.046e+03
154.0,4.333e+02,4.949e+03,1.736e+02,5.556e+03
155.6,3.242e+02,4.744e+03,1.696e+02,5.238e+03
157.2,2.703e+02,4.347e+03,2.134e+02,4.831e+03
158.7,2.667e+02,3.970e+03,3.117e+02,4.549e+03
160.3,2.370e+02,3.832e+03,4.588e+02,4.528e+03
161.9,2.192e+02,4.435e+03,7.684e+02,5.423e+03
163.5,2.920e+02,5.158e+03,1.308e+03,6.758e+03
165.0,3.637e+02,5.076e+03,1.793e+03,7.233e+03
166.6,4.400e+02,4.471e+03,2.167e+03,7.078e+03
168.2,5.038e+02,3.893e+03,2.368e+03,6.765e+03
169.7,4.734e+02,3.800e+03,2.297e+03,6.570e+03
171.3,3.626e+02,3.999e+03,2.011e+03,6.373e+03
172.9,2.749e+02,4.401e+03,1.670e+03,6.346e+03
174.5,2.642e+02,4.862e+03,1.340e+03,6.466e+03
176.0,2.931e+02,5.049e+03,1.085e+03,6.427e+03
177.6,3.366e+02,4.751e+03,9.490e+02,6.036e+03
179.2,4.142e+02,4.240e+03,1.100e+03,5.755e+03
180.8,5.147e+02,3.579e+03,1.444e+03,5.537e+03
182.3,5.282e+02,3.106e+03,1.835e+03,5.469e+03
183.9,5.162e+02,2.804e+03,2.270e+03,5.590e+03
185.5,4.662e+02,2.432e+03,2.517e+03,5.415e+03
187.0,4.710e+02,1.945e+03,2.723e+03,5.140e+03
188.6,4.454e+02,1.392e+03,2.695e+03,4.532e+03
190.2,4.321e+02,1.035e+03,2.739e+03,4.207e+03
191.8,4.039e+02,9.452e+02,2.795e+03,4.144e+03
193.3,3.978e+02,1.115e+03,2.846e+03,4.358e+03
